code,name,city,lat,lng,operating_hours
MOI-ASIR-089,مخفر شرطة العرقين,Asir,,,3120
MOI-ASIR-090,مبنى شرطة ظهران الجديد,Asir,,,3120
MOI-ASIR-091,وزارة الداخلية,Asir,,,3120
MOI-ASIR-092,وزارة الداخلية,Asir,,,3120
MOI-ASIR-093,وزارة الداخلية,Asir,,,3120
MOI-ASIR-094,وزارة الداخلية,Asir,,,3120
MOI-ASIR-095,وزارة الداخلية,Asir,,,3120
MOI-ASIR-096,وزارة الداخلية,Asir,,,3120
MOI-ASIR-097,وزارة الداخلية,Asir,,,3120
MOI-ASIR-098,وزارة الداخلية,Asir,,,3120
MOI-ASIR-099,مركز حرس الحدود الجربه,Asir,,,3120
MOI-ASIR-100,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-101,برج اتصالات الشرطه بشثاث,Asir,,,3120
MOI-ASIR-102,حرس الحدود بقمه جبل شثاث,Asir,,,3120
MOI-ASIR-103,مركز الدفاع المدني,Asir,,,3120
MOI-ASIR-104,مركز شرطه القراره,Asir,,,3120
MOI-ASIR-105,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-106,وزارة الداخلية,Asir,,,3120
MOI-ASIR-107,قيادة الافواج,Asir,,,3120
MOI-ASIR-108,مركز حرس الحدود عين ظبيه,Asir,,,3120
MOI-ASIR-109,وزارة الداخلية,Asir,,,3120
MOI-ASIR-110,قيادة الافواج,Asir,,,3120
MOI-ASIR-111,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-112,قيادة قطاع حرس الحدود,Asir,,,3120
MOI-ASIR-113,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-114,مركز حرس الحدود رقابه زبنه,Asir,,,3120
MOI-ASIR-115,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-116,مركز حرس الحدود قشبه,Asir,,,3120
MOI-ASIR-117,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-118,مركز عاكفه الجديد,Asir,,,3120
MOI-ASIR-119,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-120,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-121,مركز حرس الحدود بالحضار,Asir,,,3120
MOI-ASIR-122,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-123,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-124,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-125,مركز عاكفه القديم محطة البنزين,Asir,,,3120
MOI-ASIR-126,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-127,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-128,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-129,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-130,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-131,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-132,رئيس مركز لادمه,Asir,,,3120
MOI-ASIR-133,مركز حرس الحدود الرهوه,Asir,,,3120
MOI-ASIR-134,مركز الفرشة,Asir,,,3120
MOI-ASIR-135,مركز الفرشة,Asir,,,3120
MOI-ASIR-136,مركز الفرشة,Asir,,,3120
MOI-ASIR-137,الدفاع المدني بالفرشة,Asir,,,3120
MOI-ASIR-138,مركز العرقين,Asir,,,3120
MOI-ASIR-139,دوريات امن الطرق بظهران الجنوب,Asir,,,3120
MOI-ASIR-140,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-141,مركز ايواء الدفاع المدني,Asir,,,3120
MOI-ASIR-142,مركز ايواء الدفاع المدني,Asir,,,3120
MOI-ASIR-143,قائد القوة الخاصة لامن الطرق,Asir,,,3120
MOI-ASIR-144,مركز سريان,Asir,,,3120
MOI-ASIR-145,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-146,مركز العرقين,Asir,,,3120
MOI-ASIR-147,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-148,مركز شرطه الفيض,Asir,,,3120
MOI-ASIR-149,مركز العرقين,Asir,,,3120
MOI-ASIR-150,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-151,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-152,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-153,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-154,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-155,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-156,شرطه الفرشة,Asir,,,3120
MOI-ASIR-157,شرطه الفرشة,Asir,,,3120
MOI-ASIR-158,شرطه الفرشة,Asir,,,3120
MOI-ASIR-159,أمارة صدر وائلة,Asir,,,3120
MOI-ASIR-160,قائد القوة الخاصة لامن الطرق,Asir,,,3120
MOI-ASIR-161,مدير فرع الادارة العامة,Asir,,,3120
MOI-ASIR-162,مركز امارة ريم,Asir,,,3120
MOI-ASIR-163,مركز الجوه,Asir,,,3120
MOI-ASIR-164,مركز سبت بني بشر,Asir,,,3120
MOI-ASIR-165,مركز الحرجه,Asir,,,3120
MOI-ASIR-166,النيابة العامة,Asir,,,3120
MOI-ASIR-167,النيابة العامة,Asir,,,3120
MOI-ASIR-168,النيابة العامة,Asir,,,3120
MOI-ASIR-169,النيابة العامة,Asir,,,3120
MOI-ASIR-170,النيابة العامة,Asir,,,3120
MOI-ASIR-171,النيابة العامة,Asir,,,3120
MOI-ASIR-172,النيابة العامة,Asir,,,3120
MOI-ASIR-173,النيابة العامة,Asir,,,3120
MOI-ASIR-174,النيابة العامة,Asir,,,3120
MOI-ASIR-175,النيابة العامة,Asir,,,3120
MOI-ASIR-176,النيابة العامة,Asir,,,3120
MOI-ASIR-177,النيابة العامة,Asir,,,3120
MOI-ASIR-178,مكافحه المخدرات سراة عبيده,Asir,,,3120
MOI-ASIR-179,مكافحه المخدرات سراة عبيده,Asir,,,3120
MOI-ASIR-180,مكافحه المخدرات سراة عبيده,Asir,,,3120
MOI-ASIR-181,مكافحه المخدرات سراة عبيده,Asir,,,3120
MOI-ASIR-182,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-183,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-184,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-185,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-186,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-187,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-188,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-189,النيابة العامة بالحرجة,Asir,,,3120
MOI-ASIR-190,نقطه تفتيش مركز الجوه,Asir,,,3120
MOI-ASIR-191,مركز عقبة الجوة,Asir,,,3120
MOI-ASIR-192,شرطة سراة عبيدة,Asir,,,3120
MOI-ASIR-193,شرطة سراة عبيدة,Asir,,,3120
MOI-ASIR-194,شرطة سراة عبيدة,Asir,,,3120
MOI-ASIR-195,مركز العسران,Asir,,,3120
MOI-ASIR-196,جوازات سراة عبيدة,Asir,,,3120
MOI-ASIR-197,شرطة الحرجة,Asir,,,3120
MOI-ASIR-198,الدفاع المدني بسراة عبيدة,Asir,,,3120
MOI-ASIR-199,مركز خشم عنقار,Asir,,,3120
MOI-ASIR-200,شرطة الحرجه,Asir,,,3120
MOI-ASIR-201,مركز شرطة الهضبة بالوهابة,Asir,,,3120
MOI-ASIR-202,مركز الاتصالات بالامن العام,Asir,,,3120
MOI-ASIR-203,سعاده مدير الفرع المالي,Asir,,,3120
MOI-ASIR-204,سعادة مدير مكتب اتصال وزارة الداخلية,Asir,,,3120
MOI-ASIR-205,سعادة مدير مكتب اتصال وزارة الداخلية,Asir,,,3120
MOI-ASIR-206,مركز سلاح الحدود جوه الحيان,Asir,,,3120
MOI-ASIR-207,سعادة مدير الفرع المالي بشرطه عسير,Asir,,,3120
MOI-ASIR-208,برج حرس الحدود بالجوة,Asir,,,3120
MOI-ASIR-209,وزارة الداخلية,Asir,,,3120
MOI-ASIR-210,وزارة الداخلية,Asir,,,3120
MOI-ASIR-211,سعاده مدير الفرع المالي,Asir,,,3120
MOI-ASIR-212,شرطة الحرجة,Asir,,,3120
MOI-ASIR-213,مركز تمنية,Asir,,,3120
MOI-ASIR-214,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-215,الأحوال المدنية - سراة عبيدة,Asir,,,3120
MOI-ASIR-216,مركز الفيض,Asir,,,3120
MOI-ASIR-217,مركز الفيض,Asir,,,3120
MOI-ASIR-218,شرطه الجوه,Asir,,,3120
MOI-ASIR-219,مركز الشعف,Asir,,,3120
MOI-ASIR-220,شرطة الشعف,Asir,,,3120
MOI-ASIR-221,مركز شعف لجوان,Asir,,,3120
MOI-ASIR-222,شرطة الشعف,Asir,,,3120
MOI-ASIR-223,شرطة الشعف,Asir,,,3120
MOI-ASIR-224,شرطة الشعف,Asir,,,3120
MOI-ASIR-225,شرطة الشعف,Asir,,,3120
MOI-ASIR-226,شرطة الشعف,Asir,,,3120
MOI-ASIR-227,شرطة الشعف,Asir,,,3120
MOI-ASIR-228,شرطة الشعف,Asir,,,3120
MOI-ASIR-229,مركز شرطه الجائف,Asir,,,3120
MOI-ASIR-230,مركز الاماره بعين اللوي,Asir,,,3120
MOI-ASIR-231,مدير فرع الادارة العامة,Asir,,,3120
MOI-ASIR-232,مركز شرطه تفتيش عين,Asir,,,3120
MOI-ASIR-233,سعاده مدير الفرع المالي,Asir,,,3120
MOI-ASIR-234,سعاده مدير الفرع المالي,Asir,,,3120
MOI-ASIR-235,برج الاتصالات اللاسلكيه بعين اللوي,Asir,,,3120
MOI-ASIR-236,الدفاع المدني بشعف لجوان,Asir,,,3120
MOI-ASIR-237,الدفاع المدني بشعف لجوان,Asir,,,3120
MOI-ASIR-238,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-239,مركز الفيض,Asir,,,3120
MOI-ASIR-240,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-241,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-242,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-243,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-244,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-245,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-246,مركز عاكفه القديم,Asir,,,3120
MOI-ASIR-247,مركز حرس الحدود والضيافه,Asir,,,3120
MOI-ASIR-248,برج حرس الحدود,Asir,,,3120
MOI-ASIR-249,مركز عاكفه القديم,Asir,,,3120
MOI-ASIR-250,مركز حرس الحدود بالحصن,Asir,,,3120
MOI-ASIR-251,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-252,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-253,مركز حرس الحدود بالحجفاء,Asir,,,3120
MOI-ASIR-254,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-255,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-256,مركز حرس الحدود بالمجازه,Asir,,,3120
MOI-ASIR-257,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-258,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-259,رئيس مركز شرطة عاكفه,Asir,,,3120
MOI-ASIR-260,مخفر شرطة عاكفه,Asir,,,3120
MOI-ASIR-261,مركز امارة الحاجر,Asir,,,3120
MOI-ASIR-262,مركز شرطه امن الثويله,Asir,,,3120
MOI-ASIR-263,مركز الثويلة امارة عسير,Asir,,,3120
MOI-ASIR-264,حرس الحدود,Asir,,,3120
MOI-ASIR-265,مركز امارة عاكفة,Asir,,,3120
MOI-ASIR-266,برج الامن العام الشرطه,Asir,,,3120
MOI-ASIR-267,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-268,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-269,حرس الحدود,Asir,,,3120
MOI-ASIR-270,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-271,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-272,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-273,مركز حرس الحدود الربوعه,Asir,,,3120
MOI-ASIR-274,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-275,مركز المجاهدين بالربوعه,Asir,,,3120
MOI-ASIR-276,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-277,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-278,مدير فرع الادارة العامة للمجاهدين,Asir,,,3120
MOI-ASIR-279,قائد حرس الحدود بمنطقة عسير,Asir,,,3120
MOI-ASIR-280,شرطة وادي الحياء,Asir,,,3120
