lamp_type,model,brand,shape_size_base,dimensions,wattage_w,lumens_lm,cct_k,life_hours,operating_v,mandatory,local
LED Downlight,LDSUP DL 150 9W 965 WV (P-DL-R150-9W-WV-G3-965),LEDVANCE,Round,"6""",9,1260,6500,50000,100-277,No,No
LED Downlight,LDSUP DL 150 12W 930 WV (P-DL-R150-12W-WV-G3-930),LEDVANCE,Round,"6""",12,1600,3000,50000,100-277,No,No
LED Downlight,LDSUP DL 150 12W 940 WV (P-DL-R150-12W-WV-G3-940),LEDVANCE,Round,"6""",12,1680,4000,50000,100-277,No,No
LED Downlight,LDSUP DL 150 12W 965 WV (P-DL-R150-12W-WV-G3-965),LEDVANCE,Round,"6""",12,1680,6500,50000,100-277,No,No
LED Downlight,LDSUP DL 190 15W 930 WV (P-DL-R190-15W-WV-G3-930),LEDVANCE,Round,"8""",15,2000,3000,50000,100-277,No,No
LED Downlight,LDSUP DL 190 15W 940 WV (P-DL-R190-15W-WV-G3-940),LEDVANCE,Round,"8""",15,2100,4000,50000,100-277,No,No
LED Downlight,LDSUP DL 190 15W 965 WV (P-DL-R190-15W-WV-G3-965),LEDVANCE,Round,"8""",15,2100,6500,50000,100-277,No,No
LED Downlight,LDSUP DL 190 18W 930 WV (P-DL-R190-18W-WV-G3-930),LEDVANCE,Round,"8""",18,2400,3000,50000,100-277,No,No
LED Downlight,LDSUP DL 190 18W 940 WV (P-DL-R190-18W-WV-G3-940),LEDVANCE,Round,"8""",18,2520,4000,50000,100-277,No,No
LED Downlight,LDSUP DL 190 18W 965 WV (P-DL-R190-18W-WV-G3-965),LEDVANCE,Round,"8""",18,2520,6500,50000,100-277,No,No
LED Downlight,DL ALU DN200 35W/3000K,Osram,Round,"8""",35,2950,3000,50000,220-240,No,No
LED Downlight,DL ALU DN200 35W/4000K,Osram,Round,"8""",35,3150,4000,50000,220-240,No,No
LED Downlight,DL ALU DN200 35W/6500K,Osram,Round,"8""",35,3150,6500,50000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 70 4W 830 ,Osram,Round,"3""",4,275,3000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 70 4W 840 ,Osram,Round,"3""",4,285,4000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 70 4W 865 ,Osram,Round,"3""",4,285,6500,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 105 9W 830 ,Osram,Round,"4""",9,650,3000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 105 9W 840 ,Osram,Round,"4""",9,700,4000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 105 9W 865 ,Osram,Round,"4""",9,700,6500,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 150 15W830 ,Osram,Round,"6""",15,1080,3000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 150 15W840,Osram,Round,"6""",15,1200,4000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 150 15W865,Osram,Round,"6""",15,1200,6500,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 205 18W830 ,Osram,Round,"8""",18,1600,3000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 205 18W840 ,Osram,Round,"8""",18,1750,4000,30000,220-240,No,No
LED Downlight,LDVAL SLIMDL RD 205 18W865 ,Osram,Round,"8""",18,1750,6500,30000,220-240,No,No
LED Downlight,Ultimate Downlight UE UGR 5.5W 3000K 100-240V ND,Honeywell,Round,4,5.5,693,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 5.5W 4000K 100-240V ND,Honeywell,Round,4,5.5,721,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 5.5W 6500K 100-240V ND,Honeywell,Round,4,5.5,721,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 8.5W 3000K 100-240V ND,Honeywell,Round,6,8.5,1139,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 8.5W 4000K 100-240V ND,Honeywell,Round,6,8.5,1207,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 8.5W 6500K 100-240V ND,Honeywell,Round,6,8.5,1207,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 11W 3000K 100-240V ND,Honeywell,Round,6,11,1474,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 11W 4000K 100-240V ND,Honeywell,Round,6,11,1562,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 11W 6500K 100-240V ND,Honeywell,Round,6,11,1562,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 14W 3000K 100-240V ND,Honeywell,Round,8,14,1876,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 14W 4000K 100-240V ND,Honeywell,Round,8,14,1988,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 14W 6500K 100-240V ND,Honeywell,Round,8,14,1988,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 17W 3000K 100-240V ND,Honeywell,Round,8,17,2278,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 17W 4000K 100-240V ND,Honeywell,Round,8,17,2414,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 17W 6500K 100-240V ND,Honeywell,Round,8,17,2414,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 22W 3000K 100-240V ND,Honeywell,Round,8,22,2948,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 22W 4000K 100-240V ND,Honeywell,Round,8,22,3124,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 22W 6500K 100-240V ND,Honeywell,Round,8,22,3124,6500,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 27W 3000K 100-240V ND,Honeywell,Round,8,27,3618,3000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 27W 4000K 100-240V ND,Honeywell,Round,8,27,3834,4000,50000,100-240,No,No
LED Downlight,Ultimate Downlight UE UGR 27W 6500K 100-240V ND,Honeywell,Round,8,27,3834,6500,50000,100-240,No,No
LED Downlight,Ess COB DL 7W 4000K 3 Inch 100-240V 7.5cm IP20 ND,Honeywell,Round,3,7,630,3000,30000,100-240,No,No
LED Downlight,Ess COB DL 7W 6500K 3 Inch 100-240V 7.5cm IP20 ND,Honeywell,Round,3,7,630,4000,30000,100-240,No,No
LED Downlight,Ess COB DL 7W 3000K 3 Inch 100-240V 7.5cm IP20 ND,Honeywell,Round,3,7,630,6500,30000,100-240,No,No
LED Downlight,Ess COB DL 10W 4000K 4 Inch 100-240V 10.5cm IP20 ND,Honeywell,Round,4,10,900,3000,30000,100-240,No,No
LED Downlight,Ess COB DL 10W 6500K 4 Inch 100-240V 10.5cm IP20 ND,Honeywell,Round,4,10,900,4000,30000,100-240,No,No
LED Downlight,Ess COB DL 10W 3000K 4 Inch 100-240V 10.5cm IP20 ND,Honeywell,Round,4,10,900,6500,30000,100-240,No,No
LED Downlight,Ess COB DL 15W 3000K 6 Inch 100-240V 14cm IP20 ND,Honeywell,Round,6,15,1350,3000,30000,100-240,No,No
LED Downlight,Ess COB DL 15W 4000K 6 Inch 100-240V 14cm IP20 ND,Honeywell,Round,6,15,1350,4000,30000,100-240,No,No
LED Downlight,Ess COB DL 15W 6500K 6 Inch 100-240V 14cm IP20 ND,Honeywell,Round,6,15,1350,6500,30000,100-240,No,No
LED Downlight,Ess COB DL 30W 3000K 8 Inch 100-240V 20cm IP20 ND,Honeywell,Round,8,30,2700,3000,30000,100-240,No,No
LED Downlight,Ess COB DL 30W 4000K 8 Inch 100-240V 20cm IP20 ND,Honeywell,Round,8,30,2700,4000,30000,100-240,No,No
LED Downlight,Ess COB DL 30W 6500K 8 Inch 100-240V 20cm IP20 ND,Honeywell,Round,8,30,2700,6500,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 20W 3000K 100-240V 17 cm IP20 ND,Honeywell,Round,6.8,20,1800,3000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 20W 4000K 100-240V 17 cm IP20 ND,Honeywell,Round,6.8,20,1800,4000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 20W 6500K 100-240V 17 cm IP20 ND,Honeywell,Round,6.8,20,1800,6500,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 30W 3000K 100-240V 22 cm IP20 ND,Honeywell,Round,8.8,30,2700,3000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 30W 4000K 100-240V 22 cm IP20 ND,Honeywell,Round,8.8,30,2700,4000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 30W 6500K 100-240V 22 cm IP20 ND,Honeywell,Round,8.8,30,2700,6500,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 40W 3000K 100-240V 30 cm IP20 ND,Honeywell,Round,12,40,3600,3000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 40W 4000K 100-240V 30 cm IP20 ND,Honeywell,Round,12,40,3600,4000,30000,100-240,No,No
LED Downlight,Ess COB Surface DL 40W 6500K 100-240V 30 cm IP20 ND,Honeywell,Round,12,40,3600,6500,30000,100-240,No,No
LED Downlight,Ess R SMD DL 9W 4000K 4 Inch 220-240V 10±5 IP20 ND,Honeywell,Round,4,9,810,4000,25000,220-240,No,No
LED Downlight,DN390B LED7/840 P6PSU D100 WH GMG2HE,Philips ,Round,"4""",5.8,750,4000,50000,220-240,No,No
LED Downlight,DN391B LED15/840 P11PSU D100 WH GMG2HE,Philips ,Round,"4""",11.4,1500,4000,50000,220-240,No,No
LED Downlight,DN392B LED20/840 P14PSU D150 WH GMG2HE,Philips ,Round,"6""",14.4,2000,4000,50000,220-240,No,No
LED Downlight,DN392B LED20/840 P14PSU D200 WH GMG2HE,Philips ,Round,"8""",14.4,2000,4000,50000,220-240,No,No
LED Downlight,DN393B LED26/840 P19PSU D200 WH GMG2HE,Philips ,Round,"8""",19.2,2600,4000,50000,220-240,No,No
LED Downlight,DN394B LED40/840 P29PSU D200 WH GMG2HE,Philips ,Round,"8""",29.3,4000,4000,50000,220-240,No,No
LED Downlight,DN590B LED17/840 P10PSU D150 WB UE G2,Philips ,Round,"6""",10,1700,4000,75000,220-240,No,No
LED Downlight,DN591B LED23/840 P13PSU D200 WB UE G2,Philips ,Round,"8""",13.2,2279,4000,75000,220-240,No,No
LED Downlight,DN589B LED12/840 P7PSU D125 WB UE G2,Philips ,Round,"5""",7.5,1185,4000,75000,220-240,No,No
LED Downlight,DN594B LED42/840 P30PSU D200 VWB-M G2,Philips ,Round,"8""",29.7,4324,4000,75000,220-240,No,No
LED Downlight,DN390B LED7/865 P6PSU D100 WH GMG2HE,Philips ,Round,"4""",5.8,750,6500,50000,220-240,No,No
LED Downlight,DN391B LED15/865 P11PSU D100 WH GMG2HE,Philips ,Round,"4""",11.4,1500,6500,50000,220-240,No,No
LED Downlight,DN392B LED20/865 P14PSU D150 WH GMG2HE,Philips ,Round,"6""",14.4,2000,6500,50000,220-240,No,No
LED Downlight,DN392B LED20/865 P14PSU D200 WH GMG2HE,Philips ,Round,"8""",14.4,2000,6500,50000,220-240,No,No
LED Downlight,DN393B LED26/865 P19PSU D200 WH GMG2HE,Philips ,Round,"8""",19.2,2600,6500,50000,220-240,No,No
LED Downlight,DN394B LED40/865 P29PSU D200 WH GMG2HE,Philips ,Round,"8""",29.3,4000,6500,50000,220-240,No,No
LED Downlight,DN590B LED17/865 P10PSU D150 WB UE G2,Philips ,Round,"6""",10,1700,6500,75000,220-240,No,No
LED Downlight,DN591B LED23/865 P13PSU D200 WB UE G2,Philips ,Round,"8""",13.2,2279,6500,75000,220-240,No,No
LED Downlight,DN589B LED12/865 P7PSU D125 WB UE G2,Philips ,Round,"5""",7.5,1185,6500,75000,220-240,No,No
LED Downlight,DN594B LED42/865 P30PSU D200 VWB-M G2,Philips ,Round,"8""",29.7,4324,6500,75000,220-240,No,No
LED Downlight,LDVAL DL COB 200 40W 840 12X1 KSA LEDV ,LEDVANCE,Round,8'',40,4000,4000,30000,110-240,No,No
LED Downlight,LED ECO DOWNLIGHT R35 6W HO G2 ,LEDVANCE,Round,3.5'',6,600,4000,25000,220-240,No,No
LED Downlight,DN068B G2 LED20/840 PSU D200,Philips ,Round,8'',18,2000,4000,50000,220-240,No,No
LED Downlight,Ess Surface R SMD DL 18W 3000K 220-240V IP20 ND,Honeywell,Round,223 mm,18,1325,3000,25000,220-240,No,No
LED Downlight,Ess Surface R SMD DL 18W 4000K 220-240V IP20 ND,Honeywell,Round,223 mm,18,1440,4000,25000,220-240,No,No
LED Flood Light,BVP158 LED60/WW_NW_CW PSU 50W SWB,Philips ,datasheet,30 x 174 x 232 mm,50,6000,3000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED120/WW_NW_CW PSU 100W SWB,Philips ,datasheet,36 x 220 x 304 mm,100,12000,3000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED180/WW_NW_CW PSU 150W SWB,Philips ,datasheet,37 x 282 x 401 mm,150,18000,3000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED240/WW_NW_CW PSU 200W SWB,Philips ,datasheet,41 x 336 x 474 mm,200,24000,3000,50000,220-240,Yes,No
LED Flood Light,BVP231 LED360/CW PSU 300W 120-277V SWB,Philips ,datasheet,52 x 384 x 556 mm,300,36000,6500,50000,120-277,Yes,No
LED Flood Light,BVP232 LED480/CW PSU 400W 120-277V SWB,Philips ,datasheet,52 x 449 x 637 mm,400,48000,6500,50000,120-277,Yes,No
LED Flood Light,BVP233 LED600/CW PSU 500W 120-277V SWB,Philips ,datasheet,52 x 491 x 692 mm,500,60000,6500,50000,120-277,Yes,No
LED Flood Light,BVP158 LED60/WW_NW_CW PSU 50W SWB,Philips ,datasheet,30 x 174 x 232 mm,50,6000,4000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED120/WW_NW_CW PSU 100W SWB,Philips ,datasheet,36 x 220 x 304 mm,100,12000,4000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED180/WW_NW_CW PSU 150W SWB,Philips ,datasheet,37 x 282 x 401 mm,150,18000,4000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED240/WW_NW_CW PSU 200W SWB,Philips ,datasheet,41 x 336 x 474 mm,200,24000,4000,50000,220-240,Yes,No
LED Flood Light,BVP158 LED60/WW_NW_CW PSU 50W SWB,Philips ,datasheet,30 x 174 x 232 mm,50,6000,6500,50000,220-240,Yes,No
LED Flood Light,BVP158 LED120/WW_NW_CW PSU 100W SWB,Philips ,datasheet,36 x 220 x 304 mm,100,12000,6500,50000,220-240,Yes,No
LED Flood Light,BVP158 LED180/WW_NW_CW PSU 150W SWB,Philips ,datasheet,37 x 282 x 401 mm,150,18000,6500,50000,220-240,Yes,No
LED Flood Light,BVP158 LED240/WW_NW_CW PSU 200W SWB,Philips ,datasheet,41 x 336 x 474 mm,200,24000,6500,50000,220-240,Yes,No
LED Flood Light,LDPFM FL HP400W 840 ,Ledvance,-,"30D,55D,40X85D",400,48000,4000,50000,100-240,Yes,No
LED Flood Light,LDPFM FL HP400W 865 ,Ledvance,-,"30D,55D,40X85D",400,48000,6500,50000,100-240,Yes,No
LED Flood Light,LDPFM FL HP 600W 865 ,Ledvance, ,"30D,55D,40X85D",600,72000,6500,50000,100-240,Yes,No
LED Flood Light,LDPFM FL HP 600W 840,Ledvance,-,"30D,55D,40X85D",600,72000,4000,50000,100-240,Yes,No
LED Flood Light,LDPFM FL 10W 830 (P-FL-10W-WV-G4-830),LEDVANCE,Square,131x92x36mm,10,1450,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 10W 840 (P-FL-10W-WV-G4-840),LEDVANCE,Square,131x92x36mm,10,1550,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 10W 865 (P-FL-10W-WV-G4-865),LEDVANCE,Square,131x92x36mm,10,1550,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 15W 830 (P-FL-15W-WV-G4-830),LEDVANCE,Square,156x109x42mm,15,2150,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 15W 840 (P-FL-15W-WV-G4-840),LEDVANCE,Square,156x109x42mm,15,2350,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 15W 865 (P-FL-15W-WV-G4-865),LEDVANCE,Square,156x109x42mm,15,2350,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 25W 830 (P-FL-25W-WV-G4-830),LEDVANCE,Square,186x134x42mm,25,3750,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 25W 840 (P-FL-25W-WV-G4-840),LEDVANCE,Square,186x134x42mm,25,4000,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 25W 865 (P-FL-25W-WV-G4-865),LEDVANCE,Square,186x134x42mm,25,4000,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 43W 830 (P-FL-43W-WV-G4-830),LEDVANCE,Square,218x155x46mm,43,6500,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 43W 840 (P-FL-43W-WV-G4-840),LEDVANCE,Square,218x155x46mm,43,7000,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 43W 865 (P-FL-43W-WV-G4-865),LEDVANCE,Square,218x155x46mm,43,7000,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 58W 830 (P-FL-58W-WV-G4-830),LEDVANCE,Square,228x181x52mm,58,8700,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 58W 840 (P-FL-58W-WV-G4-840),LEDVANCE,Square,228x181x52mm,58,9280,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 58W 865 (P-FL-58W-WV-G4-865),LEDVANCE,Square,228x181x52mm,58,9280,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 70W 830 (P-FL-70W-WV-G4-830),LEDVANCE,Square,228x181x52mm,70,10500,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 70W 840 (P-FL-70W-WV-G4-840),LEDVANCE,Square,228x181x52mm,70,11200,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 70W 865 (P-FL-70W-WV-G4-865),LEDVANCE,Square,228x181x52mm,70,11200,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 108W 830 (P-FL-108W-WV-G4-830),LEDVANCE,Square,266x259x49mm,108,16200,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 108W 840 (P-FL-108W-WV-G4-840),LEDVANCE,Square,266x259x49mm,108,17280,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 108W 865 (P-FL-108W-WV-G4-865),LEDVANCE,Square,266x259x49mm,108,17280,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 143W 830 (P-FL-143W-WV-G4-830),LEDVANCE,Square,289x282x52mm,143,21450,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 143W 840 (P-FL-143W-WV-G4-840),LEDVANCE,Square,289x282x52mm,143,22880,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 143W 865 (P-FL-143W-WV-G4-865),LEDVANCE,Square,289x282x52mm,143,22880,6500,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 172W 830 (P-FL-172W-WV-G4-830),LEDVANCE,Square,324x315x54mm,172,25800,3000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 172W 840 (P-FL-172W-WV-G4-840),LEDVANCE,Square,324x315x54mm,172,27520,4000,100000,100-277,Yes,No
LED Flood Light,LDPFM FL 172W 865 (P-FL-172W-WV-G4-865),LEDVANCE,Square,324x315x54mm,172,27520,6500,100000,100-277,Yes,No
LED Flood Light,BVP151 LED120/CW 120-277V 100W SWB 6500K,Philips,-,-,100,12000,6500,50000,120-277,Yes,No
LED Flood Light,BVP151 LED180/NW 120-277V 150W SWB  4000K,Philips,-,-,150,18000,4000,50000,120-277,Yes,No
LED Flood Light,BVP151 LED60/NW 120-277V 50W SWB  4000K,Philips,-,-,50,6000,4000,50000,100-277,Yes,No
LED Flood Light,BVP151 LED60/NW 120-277V 70W SWB  4000K,Philips,-,-,70,8400,4000,50000,100-277,Yes,No
LED Flood Light,Ultimate Floodlight 38W 4000K 100-240V ND,Honeywell,-,-,38,6080,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 38W 6500K 100-240V ND,Honeywell,-,-,38,6080,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 57W 4000K 100-240V ND,Honeywell,-,-,57,9120,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 57W 6500K 100-240V ND,Honeywell,-,-,57,9120,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 75W 4000K 100-240V ND,Honeywell,-,-,75,12000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 75W 6500K 100-240V ND,Honeywell,-,-,75,12000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 113W 4000K 100-240V ND,Honeywell,-,-,113,18080,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 113W 6500K 100-240V ND,Honeywell,-,-,113,18080,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 150W 4000K 100-240V ND,Honeywell,-,-,150,24000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 150W 6500K 100-240V ND,Honeywell,-,-,150,24000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 190W 4000K 100-240V ND,Honeywell,-,-,190,30400,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate Floodlight 190W 6500K 100-240V ND,Honeywell,-,-,190,30400,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 400W 840 110D 100-240V IP66 ND,Honeywell,-,-,400,64000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 400W 865 110D 100-240V IP66 ND,Honeywell,-,-,400,64000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 600W 840 90D 100-240V IP66 ND,Honeywell,-,-,600,96000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 600W 865 90D 100-240V IP66 ND,Honeywell,-,-,600,96000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 800W 840 90D 100-240V IP66 ND,Honeywell,-,-,800,128000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 800W 865 90D 100-240V IP66 ND,Honeywell,-,-,800,128000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 1000W 840 90D 100-240V IP66 ND,Honeywell,-,-,1000,160000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 1000W 865 90D 100-240V IP66 ND,Honeywell,-,-,1000,160000,6500,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 1200W 840 90D 100-240V IP66 ND,Honeywell,-,-,1200,192000,4000,50000,100-240,Yes,No
LED Flood Light,Ultimate High Power Floodlight 1200W 865 90D 100-240V IP66 ND,Honeywell,-,-,1200,192000,6500,50000,100-240,Yes,No
LED High Bay,LDPFM HB 80W 865 G4 (P-HB-80W-WV-865),LEDVANCE,UFO,298D*117Hmm,80,12800,6500,100000,100-277,No,No
LED High Bay,LDPFM HB 100W 865 G4 (P-HB-100W-WV-865),LEDVANCE,UFO,298D*117Hmm,100,16000,6500,100000,100-277,No,No
LED High Bay,LDPFM HB 120W 865 G4 (P-HB-120W-WV-865),LEDVANCE,UFO,298D*117Hmm,120,19200,6500,100000,100-277,No,No
LED High Bay,LDPFM HB 150W 865 G4 (P-HB-150W-WV-865),LEDVANCE,UFO,298D*117Hmm,150,24000,6500,100000,100-277,No,No
LED High Bay,LDPFM HB 200W 865 G4 (P-HB-200W-WV-865),LEDVANCE,UFO,298D*117Hmm,200,32000,6500,100000,100-277,No,No
LED High Bay,LDPFM HB 80W 8640 G4 (P-HB-80W-WV-8640),LEDVANCE,UFO,298D*117Hmm,80,12800,4000,100000,100-277,No,No
LED High Bay,LDPFM HB 100W 840 G4 (P-HB-100W-WV-840),LEDVANCE,UFO,298D*117Hmm,100,16000,4000,100000,100-277,No,No
LED High Bay,LDPFM HB 120W 840 G4 (P-HB-120W-WV-840),LEDVANCE,UFO,298D*117Hmm,120,19200,4000,100000,100-277,No,No
LED High Bay,LDPFM HB 150W 840 G4 (P-HB-150W-WV-840),LEDVANCE,UFO,336D*119Hmm,150,24000,4000,100000,100-277,No,No
LED High Bay,LDPFM HB 200W 840 G4 (P-HB-200W-WV-840),LEDVANCE,UFO,336D*119Hmm,200,32000,4000,100000,100-277,No,No
LED High Bay,Ult HB 75W 4000K  12750 100-240V IP65 ND,Honeywell,-,-,75,12750,4000,100000,100-240,No,No
LED High Bay,Ult HB 75W 6500K  12750 100-240V IP65 ND,Honeywell,-,-,75,12750,6500,100000,100-240,No,No
LED High Bay,Ult HB 100W 4000K  17000 100-240V IP65 ND,Honeywell,-,-,100,17000,4000,100000,100-240,No,No
LED High Bay,Ult HB 100W 6500K  17000 100-240V IP65 ND,Honeywell,-,-,100,17000,6500,100000,100-240,No,No
LED High Bay,Ult HB 120W 4000K  20400 100-240V IP65 ND,Honeywell,-,-,120,20400,4000,100000,100-240,No,No
LED High Bay,Ult HB 120W 6500K  20400 100-240V IP65 ND,Honeywell,-,-,120,20400,6500,100000,100-240,No,No
LED High Bay,Ult HB 150W 4000K  25500 100-240V IP65 ND,Honeywell,-,-,150,25500,4000,100000,100-240,No,No
LED High Bay,Ult HB 150W 6500K  25500 100-240V IP65 ND,Honeywell,-,-,150,25500,6500,100000,100-240,No,No
LED High Bay,Ult HB 200W 4000K  34000 100-240V IP65 ND,Honeywell,-,-,200,34000,4000,100000,100-240,No,No
LED High Bay,Ult HB 200W 6500K  34000 100-240V IP65 ND,Honeywell,-,-,200,34000,6500,100000,100-240,No,No
LED High Bay,BY698P G5 LED105/NW PSU WB GM,Philips ,Round,290,63,10500,4000,75000,220-240,No,No
LED High Bay,BY698P G5 LED150/NW PSU WB GM,Philips ,Round,290,88,15000,4000,75000,220-240,No,No
LED High Bay,BY698P G5 LED200/NW PSU WB GM,Philips ,Round,330,121,20500,4000,75000,220-240,No,No
LED High Bay,BY698P G5 LED250/NW PSU WB GM,Philips ,Round,393,144,25000,4000,75000,220-240,No,No
LED High Bay,BY698P G5 LED300/NW PSU WB GM,Philips ,Round,393,181,31000,4000,75000,220-240,No,No
LED High Bay,BY698P G5 LED105/CW PSU WB GM,Philips ,Round,290,63,10500,6500,75000,220-240,No,No
LED High Bay,BY698P G5 LED150/CW PSU WB GM,Philips ,Round,290,88,15000,6500,75000,220-240,No,No
LED High Bay,BY698P G5 LED200/CW PSU WB GM,Philips ,Round,330,121,20500,6500,75000,220-240,No,No
LED High Bay,BY698P G5 LED250/CW PSU WB GM,Philips ,Round,393,144,25000,6500,75000,220-240,No,No
LED High Bay,BY698P G5 LED300/CW PSU WB GM,Philips ,Round,393,181,31000,6500,75000,220-240,No,No
LED Street Light,Xceed BRP381  45W 120-277V  3000K,Philips,-,-,45,7000,3000,100000,100-277,Yes,No
LED Street Light,Xceed BRP381  45W 120-277V  4000K,Philips,-,-,45,7000,4000,100000,100-277,Yes,No
LED Street Light,Xceed BRP381 45W 120-277V  6500K,Philips,-,-,45,7000,6500,100000,100-277,Yes,No
LED Street Light,Xceed  BRP384  302W 120-277 4000K,Philips,-,-,302,45000,4000,100000,120-277,Yes,No
LED Street Light,Xceed  BRP384 26W 120-277 4000K,Philips,-,-,26,3750,4000,100000,120-277,Yes,No
LED Street Light,Xceed BRP384  264W 120‐277V  6500K,Philips,-,-,264,40000,6500,100000,100-277,Yes,No
